CropType,Region,SoilType,IrrigationMethod,Rainfall,Temperature,Humidity,WaterFootprint
Maize,Maharashtra,Clayey,Drip,285,37,69,1121
Wheat,Bihar,Loamy,Drip,1119,34,40,1059
Rice,Bihar,Loamy,Drip,954,26,34,1856
Cotton,UP,Clayey,Sprinkler,867,38,52,2078
Maize,Punjab,Clayey,Drip,657,34,41,972
Sugarcane,Bihar,Loamy,Drip,978,24,62,2587
Rice,Maharashtra,Sandy,Drip,1099,34,87,2196
Rice,Maharashtra,Clayey,Drip,1034,33,65,1911
Wheat,UP,Sandy,Sprinkler,724,19,81,1252
Cotton,UP,Sandy,Sprinkler,743,30,83,2210
Wheat,Bihar,Loamy,Sprinkler,1031,32,56,1116
Cotton,Bihar,Clayey,Flood,1008,21,61,1908
Maize,Maharashtra,Sandy,Sprinkler,893,34,49,1204
Cotton,Maharashtra,Loamy,Sprinkler,441,36,35,2006
Rice,Punjab,Loamy,Flood,993,26,55,2297
Wheat,Karnataka,Clayey,Drip,441,18,75,1101
Maize,Maharashtra,Sandy,Flood,341,32,88,1442
Wheat,Maharashtra,Sandy,Drip,1072,26,68,1132
Cotton,Karnataka,Loamy,Drip,364,19,66,2128
Maize,Punjab,Sandy,Sprinkler,680,19,37,1172
Wheat,Maharashtra,Clayey,Drip,233,28,50,1278
Maize,UP,Sandy,Flood,708,33,89,1262
Sugarcane,UP,Sandy,Drip,481,37,32,3383
Rice,UP,Sandy,Sprinkler,1146,31,61,2270
Cotton,Bihar,Loamy,Sprinkler,574,22,81,1938
Maize,UP,Sandy,Flood,223,24,72,1367
Rice,UP,Clayey,Flood,532,19,73,2589
